1732	128	61	59
1575	157	38	31
1706	130	137	60
1530	149	60	58
1711	125	147	58
1611	166	37	30
1749	125	98	58
1548	170	63	61
1711	136	43	40
1792	127	69	50


1732	128	61	59
1575	157	38	31
1706	130	137	60
1530	149	60	58
1711	125	147	58
1611	166	37	30
1749	125	98	58
1548	170	63	61
1711	136	43	40
1792	127	69	50
1864	199	38	43
1576	168	34	35
1212	146	12	11
1730	130	55	50
666	0	33	21
1576	160	39	31
1686	141	105	73
1796	133	74	48
670	0	33	13
484	353	57	29
1534	156	62	62
1708	134	57	49
1806	130	66	44
673	0	30	16
486	360	51	21
1618	174	14	11
1557	170	33	37
1678	146	73	34
1798	123	84	59
1525	121	27	24
669	0	37	20
1698	201	11	12
1554	174	52	52
1716	142	35	35
1604	134	10	11
1802	123	77	54


